"recording_id","file_name","recording_file_path","annotation_file_path","unique_code","espece","date"
57,"Anura_XXXXXXX07FR_24IV2022_68.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_68.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_68.txt","Anura_XXXXXXX07FR_24IV2022_68","Epidalea calamita","24/04/2022"
58,"Anura_XXXXXXX07FR_24IV2022_69.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_69.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_69.txt","Anura_XXXXXXX07FR_24IV2022_69","Epidalea calamita","24/04/2022"
59,"Anura_XXXXXXX07FR_24IV2022_71.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_71.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_71.txt","Anura_XXXXXXX07FR_24IV2022_71","Epidalea calamita","24/04/2022"
60,"Anura_XXXXXXX07FR_24IV2022_72.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_72.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_72.txt","Anura_XXXXXXX07FR_24IV2022_72","Epidalea calamita","24/04/2022"
61,"Anura_XXXXXXX07FR_24IV2022_73.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_73.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_73.txt","Anura_XXXXXXX07FR_24IV2022_73","Epidalea calamita","24/04/2022"
62,"Anura_XXXXXXX07FR_24IV2022_74.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_74.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_74.txt","Anura_XXXXXXX07FR_24IV2022_74","Epidalea calamita","24/04/2022"
63,"Anura_XXXXXXX07FR_24IV2022_75.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_75.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_75.txt","Anura_XXXXXXX07FR_24IV2022_75","Pelodytes punctatus","24/04/2022"
64,"Anura_XXXXXXX07FR_24IV2022_76.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_76.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_76.txt","Anura_XXXXXXX07FR_24IV2022_76","Epidalea calamita","24/04/2022"
65,"Anura_XXXXXXXXXFR_09VIII2018_06.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_06.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_06.txt","Anura_XXXXXXXXXFR_09VIII2018_06","Epidalea calamita","09/08/2018"
66,"Anura_XXXXXXXXXFR_09VIII2018_07.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_07.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_07.txt","Anura_XXXXXXXXXFR_09VIII2018_07","Epidalea calamita","09/08/2018"
67,"Anura_XXXXXXXXXFR_09VIII2018_08.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_08.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_08.txt","Anura_XXXXXXXXXFR_09VIII2018_08","Epidalea calamita","09/08/2018"
68,"Anura_XXXXXXXXXFR_09VIII2018_09.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_09.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_09.txt","Anura_XXXXXXXXXFR_09VIII2018_09","Epidalea calamita","09/08/2018"
69,"Anura_XXXXXXXXXFR_09VIII2018_10.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_10.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_10.txt","Anura_XXXXXXXXXFR_09VIII2018_10","Epidalea calamita","09/08/2018"
70,"Anura_XXXXXXXXXFR_09VIII2018_11.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_11.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_11.txt","Anura_XXXXXXXXXFR_09VIII2018_11","Epidalea calamita","09/08/2018"
71,"Anura_XXXXXXXXXFR_09VIII2018_12.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_12.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_12.txt","Anura_XXXXXXXXXFR_09VIII2018_12","Epidalea calamita","09/08/2018"
72,"Anura_XXXXXXXXXFR_09VIII2018_13.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_13.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_13.txt","Anura_XXXXXXXXXFR_09VIII2018_13","Epidalea calamita","09/08/2018"
73,"Anura_XXXXXXXXXFR_09VIII2018_14.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_14.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_14.txt","Anura_XXXXXXXXXFR_09VIII2018_14","Epidalea calamita","09/08/2018"
74,"Anura_XXXXXXXXXFR_09VIII2018_15.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_15.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_15.txt","Anura_XXXXXXXXXFR_09VIII2018_15","Epidalea calamita","09/08/2018"
75,"Anura_XXXXXXXXXFR_09VIII2018_16.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_16.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXXXXFR_09VIII2018_16.txt","Anura_XXXXXXXXXFR_09VIII2018_16","Epidalea calamita","09/08/2018"
76,"Anura_XXXXXXX07FR_23IV2022_58.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Hyla meridionalis/Sons/Anura_XXXXXXX07FR_23IV2022_58.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Hyla meridionalis/Sons/Anura_XXXXXXX07FR_23IV2022_58.txt","Anura_XXXXXXX07FR_23IV2022_58","Hyla meridionalis","23/04/2022"
77,"Anura_XXXXXXX07FR_23IV2022_59.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Hyla meridionalis/Sons/Anura_XXXXXXX07FR_23IV2022_59.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Hyla meridionalis/Sons/Anura_XXXXXXX07FR_23IV2022_59.txt","Anura_XXXXXXX07FR_23IV2022_59","Hyla meridionalis","23/04/2022"
78,"Anura_XXXXXXX07FR_23IV2022_60.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Hyla meridionalis/Sons/Anura_XXXXXXX07FR_23IV2022_60.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Hyla meridionalis/Sons/Anura_XXXXXXX07FR_23IV2022_60.txt","Anura_XXXXXXX07FR_23IV2022_60","Hyla meridionalis","23/04/2022"
